componentName,fromTimestamp,maxValue,metricName,minValue,toTimestamp,unit
cache-service,2024-01-01T00:00:00Z,60.25434144421641,memory-usage,42.065840845647244,2024-01-01T00:05:00Z,percent
cache-service,2024-01-01T00:00:00Z,96.65651225319243,hit-rate,91.35001931722024,2024-01-01T00:05:00Z,percent
cache-service,2024-01-01T00:05:00Z,51.935977441508584,memory-usage,36.22163023435891,2024-01-01T00:10:00Z,percent
cache-service,2024-01-01T00:05:00Z,93.4918565388326,hit-rate,84.89662772595753,2024-01-01T00:10:00Z,percent
cache-service,2024-01-01T00:10:00Z,50.072055317819405,memory-usage,32.565175033577404,2024-01-01T00:15:00Z,percent
cache-service,2024-01-01T00:10:00Z,92.3218413459492,hit-rate,83.21254445354856,2024-01-01T00:15:00Z,percent
cache-service,2024-01-01T00:15:00Z,52.99325574415258,memory-usage,37.72496439868341,2024-01-01T00:20:00Z,percent
cache-service,2024-01-01T00:15:00Z,98.54755570552327,hit-rate,89.77255203917328,2024-01-01T00:20:00Z,percent
cache-service,2024-01-01T00:20:00Z,42.69429545047501,memory-usage,29.879662817195094,2024-01-01T00:25:00Z,percent
cache-service,2024-01-01T00:20:00Z,97.16752914146204,hit-rate,90.10294791442519,2024-01-01T00:25:00Z,percent
cache-service,2024-01-01T00:25:00Z,59.58242068001542,memory-usage,40.23876088903252,2024-01-01T00:30:00Z,percent
cache-service,2024-01-01T00:25:00Z,94.69110569122779,hit-rate,88.47292428947014,2024-01-01T00:30:00Z,percent
cache-service,2024-01-01T00:30:00Z,62.06043383138942,memory-usage,42.96703127537114,2024-01-01T00:35:00Z,percent
cache-service,2024-01-01T00:30:00Z,98.57740700867996,hit-rate,90.09656879047867,2024-01-01T00:35:00Z,percent
cache-service,2024-01-01T00:35:00Z,50.148692710771435,memory-usage,34.9604576611276,2024-01-01T00:40:00Z,percent
cache-service,2024-01-01T00:35:00Z,96.44660493782843,hit-rate,86.74304929795866,2024-01-01T00:40:00Z,percent
cache-service,2024-01-01T00:40:00Z,54.72356697452989,memory-usage,37.53143035035623,2024-01-01T00:45:00Z,percent
cache-service,2024-01-01T00:40:00Z,96.84624578770367,hit-rate,88.98230698336359,2024-01-01T00:45:00Z,percent
cache-service,2024-01-01T00:45:00Z,42.255836008367886,memory-usage,29.95453373392207,2024-01-01T00:50:00Z,percent
cache-service,2024-01-01T00:45:00Z,94.71300321532352,hit-rate,85.88501960649951,2024-01-01T00:50:00Z,percent
cache-service,2024-01-01T00:50:00Z,52.77005290472761,memory-usage,34.057761837148085,2024-01-01T00:55:00Z,percent
cache-service,2024-01-01T00:50:00Z,95.166823795926,hit-rate,85.55081821166283,2024-01-01T00:55:00Z,percent
cache-service,2024-01-01T00:55:00Z,56.0417564252421,memory-usage,40.51112980793596,2024-01-01T01:00:00Z,percent
cache-service,2024-01-01T00:55:00Z,88.05552925249341,hit-rate,83.5443116010996,2024-01-01T01:00:00Z,percent
cache-service,2024-01-01T01:00:00Z,55.30846127062766,memory-usage,37.605757686051234,2024-01-01T01:05:00Z,percent
cache-service,2024-01-01T01:00:00Z,92.95713435994577,hit-rate,86.59526280248079,2024-01-01T01:05:00Z,percent
cache-service,2024-01-01T01:05:00Z,60.325621840648516,memory-usage,47.86895720507176,2024-01-01T01:10:00Z,percent
cache-service,2024-01-01T01:05:00Z,96.69621910104517,hit-rate,90.17254431564193,2024-01-01T01:10:00Z,percent
cache-service,2024-01-01T01:10:00Z,58.86134503259322,memory-usage,40.60877749627949,2024-01-01T01:15:00Z,percent
cache-service,2024-01-01T01:10:00Z,90.96953609787687,hit-rate,83.91095733119815,2024-01-01T01:15:00Z,percent
cache-service,2024-01-01T01:15:00Z,40.43282498706391,memory-usage,30.00596153701443,2024-01-01T01:20:00Z,percent
cache-service,2024-01-01T01:15:00Z,94.36263333000332,hit-rate,86.97960009284455,2024-01-01T01:20:00Z,percent
cache-service,2024-01-01T01:20:00Z,58.560626228104454,memory-usage,44.80022073063306,2024-01-01T01:25:00Z,percent
cache-service,2024-01-01T01:20:00Z,96.90977662011434,hit-rate,87.18866702516215,2024-01-01T01:25:00Z,percent
cache-service,2024-01-01T01:25:00Z,52.19960498482247,memory-usage,32.37600247461114,2024-01-01T01:30:00Z,percent
cache-service,2024-01-01T01:25:00Z,90.76811209562439,hit-rate,80.78108694557918,2024-01-01T01:30:00Z,percent
cache-service,2024-01-01T01:30:00Z,57.52100323527476,memory-usage,45.612120593617036,2024-01-01T01:35:00Z,percent
cache-service,2024-01-01T01:30:00Z,96.48621656206474,hit-rate,88.0234413504103,2024-01-01T01:35:00Z,percent
cache-service,2024-01-01T01:35:00Z,58.42091308301034,memory-usage,40.48837112483573,2024-01-01T01:40:00Z,percent
cache-service,2024-01-01T01:35:00Z,93.51741667052552,hit-rate,87.95863671941113,2024-01-01T01:40:00Z,percent
cache-service,2024-01-01T01:40:00Z,56.1456956197397,memory-usage,36.955930807970404,2024-01-01T01:45:00Z,percent
cache-service,2024-01-01T01:40:00Z,92.90819757043248,hit-rate,85.30677700092197,2024-01-01T01:45:00Z,percent
cache-service,2024-01-01T01:45:00Z,57.213107157841776,memory-usage,45.08926902629112,2024-01-01T01:50:00Z,percent
cache-service,2024-01-01T01:45:00Z,90.65837439338708,hit-rate,85.78081393801082,2024-01-01T01:50:00Z,percent
cache-service,2024-01-01T01:50:00Z,51.404955803399986,memory-usage,41.20468526867084,2024-01-01T01:55:00Z,percent
cache-service,2024-01-01T01:50:00Z,97.85739361184247,hit-rate,91.03455313425829,2024-01-01T01:55:00Z,percent
cache-service,2024-01-01T01:55:00Z,56.37732404452861,memory-usage,44.410429048080864,2024-01-01T02:00:00Z,percent
cache-service,2024-01-01T01:55:00Z,98.9331414016169,hit-rate,89.58142968156687,2024-01-01T02:00:00Z,percent
cache-service,2024-01-01T02:00:00Z,53.32016491781287,memory-usage,33.44864234307757,2024-01-01T02:05:00Z,percent
cache-service,2024-01-01T02:00:00Z,92.86710903531805,hit-rate,84.04657403155592,2024-01-01T02:05:00Z,percent
cache-service,2024-01-01T02:05:00Z,43.869879047223364,memory-usage,26.499861889268516,2024-01-01T02:10:00Z,percent
cache-service,2024-01-01T02:05:00Z,98.02196532917162,hit-rate,88.75983151174339,2024-01-01T02:10:00Z,percent
cache-service,2024-01-01T02:10:00Z,41.98496945856773,memory-usage,30.69320909608945,2024-01-01T02:15:00Z,percent
cache-service,2024-01-01T02:10:00Z,93.86187706227327,hit-rate,85.4157098535504,2024-01-01T02:15:00Z,percent
cache-service,2024-01-01T02:15:00Z,61.912810095967245,memory-usage,48.0432672699215,2024-01-01T02:20:00Z,percent
cache-service,2024-01-01T02:15:00Z,93.7178284850113,hit-rate,87.25425998015135,2024-01-01T02:20:00Z,percent
cache-service,2024-01-01T02:20:00Z,48.45978763484095,memory-usage,30.60836663680428,2024-01-01T02:25:00Z,percent
cache-service,2024-01-01T02:20:00Z,90.33333767069546,hit-rate,86.12551774545035,2024-01-01T02:25:00Z,percent
